部数\\頁数, 12, 14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184
2300,206100,212800,219400,226100,232800,239500,246100,252800,259500,266200,272800,279500,286200,292900,299500,306200,312900,319500,326200,332900,339600,346200,352900,359600,366300,372900,379600,386300,393000,399600,406300,413000,419600,426300,433000,439700,446300,453000,459700,466400,473000,479700,486400,493100,499700,506400,513100,519700,526400,533100,539800,546400,553100,559800,566500,573100,579800,586500,593200,599800,606500,613200,619800,626500,633200,639900,646500,653200,659900,666600,673200,679900,686600,693200,699900,706600,713300,719900,726600,733300,740000,746600,753300,760000,766700,773300,780000
2400,214100,221000,227800,234700,241600,248500,255400,262300,269100,276000,282900,289800,296700,303600,310400,317300,324200,331100,338000,344800,351700,358600,365500,372400,379300,386100,393000,399900,406800,413700,420600,427400,434300,441200,448100,455000,461900,468700,475600,482500,489400,496300,503100,510000,516900,523800,530700,537600,544400,551300,558200,565100,572000,578900,585700,592600,599500,606400,613300,620200,627000,633900,640800,647700,654600,661500,668300,675200,682100,689000,695900,702700,709600,716500,723400,730300,737200,744000,750900,757800,764700,771600,778500,785300,792200,799100,806000
2500,222000,229100,236200,243300,250400,257500,264600,271700,278800,285900,293000,300100,307200,314200,321300,328400,335500,342600,349700,356800,363900,371000,378100,385200,392300,399400,406400,413500,420600,427700,434800,441900,449000,456100,463200,470300,477400,484500,491600,498600,505700,512800,519900,527000,534100,541200,548300,555400,562500,569600,576700,583800,590800,597900,605000,612100,619200,626300,633400,640500,647600,654700,661800,668900,676000,683000,690100,697200,704300,711400,718500,725600,732700,739800,746900,754000,761100,768100,775200,782300,789400,796500,803600,810700,817800,824900,832000
2600,230000,237300,244600,251900,259200,266500,273800,281100,288400,295700,303000,310300,317600,324900,332200,339500,346800,354200,361500,368800,376100,383400,390700,398000,405300,412600,419900,427200,434500,441800,449100,456400,463700,471000,478300,485600,492900,500200,507500,514800,522100,529400,536700,544000,551300,558600,565900,573200,580500,587800,595100,602400,609700,617000,624300,631600,638900,646200,653500,660800,668100,675400,682700,690000,697300,704600,711900,719200,726500,733800,741100,748400,755700,763000,770300,777600,785000,792300,799600,806900,814200,821500,828800,836100,843400,850700,858000
2700,238000,245500,253000,260500,268000,275600,283100,290600,298100,305600,313100,320600,328100,335600,343200,350700,358200,365700,373200,380700,388200,395700,403200,410800,418300,425800,433300,440800,448300,455800,463300,470800,478400,485900,493400,500900,508400,515900,523400,530900,538400,546000,553500,561000,568500,576000,583500,591000,598500,606000,613600,621100,628600,636100,643600,651100,658600,666100,673600,681200,688700,696200,703700,711200,718700,726200,733700,741200,748800,756300,763800,771300,778800,786300,793800,801300,808800,816400,823900,831400,838900,846400,853900,861400,868900,876400,884000
2800,246000,253700,261400,269100,276900,284600,292300,300000,307700,315500,323200,330900,338600,346300,354100,361800,369500,377200,384900,392700,400400,408100,415800,423500,431300,439000,446700,454400,462100,469900,477600,485300,493000,500800,508500,516200,523900,531600,539400,547100,554800,562500,570200,578000,585700,593400,601100,608800,616600,624300,632000,639700,647400,655200,662900,670600,678300,686000,693800,701500,709200,716900,724700,732400,740100,747800,755500,763300,771000,778700,786400,794100,801900,809600,817300,825000,832700,840500,848200,855900,863600,871300,879100,886800,894500,902200,909900
2900,253900,261900,269800,277700,285700,293600,301500,309500,317400,325300,333200,341200,349100,357000,365000,372900,380800,388800,396700,404600,412500,420500,428400,436300,444300,452200,460100,468100,476000,483900,491800,499800,507700,515600,523600,531500,539400,547400,555300,563200,571100,579100,587000,594900,602900,610800,618700,626700,634600,642500,650500,658400,666300,674200,682200,690100,698000,706000,713900,721800,729800,737700,745600,753500,761500,769400,777300,785300,793200,801100,809100,817000,824900,832800,840800,848700,856600,864600,872500,880400,888400,896300,904200,912100,920100,928000,935900
3000,261900,270100,278200,286300,294500,302600,310800,318900,327000,335200,343300,351500,359600,367700,375900,384000,392200,400300,408400,416600,424700,432900,441000,449100,457300,465400,473500,481700,489800,498000,506100,514200,522400,530500,538700,546800,554900,563100,571200,579400,587500,595600,603800,611900,620100,628200,636300,644500,652600,660800,668900,677000,685200,693300,701500,709600,717700,725900,734000,742200,750300,758400,766600,774700,782900,791000,799100,807300,815400,823600,831700,839800,848000,856100,864200,872400,880500,888700,896800,904900,913100,921200,929400,937500,945600,953800,961900
3100,269900,278200,286600,294900,303300,311600,320000,328300,336700,345000,353400,361700,370100,378400,386800,395100,403500,411800,420200,428500,436900,445200,453600,461900,470300,478600,487000,495300,503700,512000,520400,528700,537100,545400,553800,562100,570500,578800,587200,595500,603900,612200,620600,628900,637300,645600,653900,662300,670600,679000,687300,695700,704000,712400,720700,729100,737400,745800,754100,762500,770800,779200,787500,795900,804200,812600,820900,829300,837600,846000,854300,862700,871000,879400,887700,896100,904400,912800,921100,929500,937800,946200,954500,962900,971200,979600,987900
3200,277900,286400,295000,303500,312100,320700,329200,337800,346300,354900,363500,372000,380600,389100,397700,406200,414800,423400,431900,440500,449000,457600,466200,474700,483300,491800,500400,508900,517500,526100,534600,543200,551700,560300,568900,577400,586000,594500,603100,611600,620200,628800,637300,645900,654400,663000,671600,680100,688700,697200,705800,714400,722900,731500,740000,748600,757100,765700,774300,782800,791400,799900,808500,817100,825600,834200,842700,851300,859800,868400,877000,885500,894100,902600,911200,919800,928300,936900,945400,954000,962600,971100,979700,988200,996800,1005300,1013900
